iter	Passed	Remaining
0	26	26039
1	47	23941
2	62	20850
3	81	20391
4	98	19604
5	113	18740
6	127	18055
7	137	17052
8	150	16595
9	165	16391
10	175	15799
11	192	15811
12	205	15628
13	226	15986
14	242	15945
15	253	15586
16	264	15316
17	277	15150
18	297	15363
19	311	15263
20	322	15021
21	351	15640
22	360	15298
23	372	15164
24	407	15895
25	426	15981
26	444	16013
27	455	15829
28	472	15825
29	490	15874
30	516	16144
31	549	16610
32	571	16752
33	581	16511
34	600	16558
35	616	16495
36	651	16951
37	672	17019
38	694	17120
39	709	17032
40	745	17432
41	876	19993
42	939	20912
43	958	20828
44	1042	22121
45	1079	22397
46	1103	22368
47	1136	22533
48	1151	22343
49	1177	22366
50	1194	22234
51	1227	22377
52	1245	22254
53	1275	22352
54	1306	22442
55	1347	22718
56	1368	22634
57	1389	22564
58	1406	22440
59	1428	22372
60	1437	22124
61	1457	22054
62	1474	21929
63	1491	21819
64	1517	21822
65	1535	21724
66	1552	21618
67	1569	21504
68	1589	21444
69	1605	21331
70	1624	21250
71	1638	21120
72	1651	20971
73	1671	20916
74	1688	20823
75	1700	20669
76	1724	20674
77	1739	20566
78	1752	20435
79	1768	20333
80	1780	20206
81	1793	20073
82	1811	20013
83	1826	19919
84	1840	19809
85	1850	19665
86	1869	19622
87	1877	19462
88	1886	19307
89	1906	19280
90	1920	19181
91	1934	19092
92	1948	19000
93	1966	18954
94	1975	18822
95	1988	18729
96	2005	18672
97	2016	18557
98	2024	18429
99	2050	18456
100	2063	18364
101	2071	18240
102	2086	18167
103	2105	18137
104	2115	18034
105	2138	18036
106	2155	17992
107	2168	17906
108	2183	17852
109	2201	17809
110	2217	17757
111	2235	17726
112	2259	17737
113	2275	17681
114	2291	17632
115	2310	17611
116	2327	17565
117	2342	17508
118	2359	17464
119	2369	17379
120	2390	17363
121	2403	17298
122	2425	17295
123	2458	17371
124	2475	17328
125	2500	17347
126	2520	17328
127	2553	17395
128	2575	17390
129	2602	17414
130	2666	17691
131	2687	17670
132	2694	17565
133	2708	17505
134	2724	17460
135	2756	17514
136	2780	17514
137	2808	17541
138	2829	17528
139	2844	17474
140	2862	17441
141	2878	17392
142	2888	17311
143	2910	17299
144	2922	17232
145	2942	17209
146	2970	17238
147	2989	17207
148	3004	17159
149	3040	17231
150	3067	17246
151	3087	17222
152	3103	17181
153	3127	17182
154	3144	17145
155	3163	17115
156	3182	17086
157	3196	17034
158	3221	17040
159	3241	17019
160	3263	17008
161	3286	16998
162	3295	16923
163	3315	16899
164	3327	16838
165	3341	16785
166	3356	16744
167	3374	16711
168	3390	16671
169	3410	16650
170	3424	16600
171	3439	16556
172	3449	16489
173	3460	16427
174	3476	16391
175	3493	16358
176	3523	16380
177	3544	16367
178	3563	16343
179	3574	16282
180	3586	16229
181	3619	16268
182	3631	16211
183	3646	16172
184	3670	16170
185	3683	16120
186	3695	16066
187	3707	16013
188	3723	15976
189	3737	15932
190	3750	15885
191	3766	15850
192	3778	15798
193	3789	15744
194	3810	15729
195	3827	15699
196	3855	15713
197	3868	15668
198	3880	15619
199	3888	15553
200	3902	15511
201	3911	15451
202	3920	15391
203	3931	15341
204	3940	15281
205	3958	15257
206	3969	15206
207	3978	15148
208	3986	15088
209	4000	15048
210	4011	15001
211	4027	14968
212	4034	14908
213	4045	14857
214	4059	14820
215	4069	14771
216	4097	14783
217	4110	14745
218	4121	14698
219	4128	14638
